categorical_imdb_score,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,gross,num_voted_users,facenumber_in_poster,num_user_for_reviews,budget,title_year,actor_2_facebook_likes,movie_facebook_likes,return_investment,Animation,Biography,Comedy,Documentary,Drama,History,Music,Musical,Mystery,War,director_Clint Eastwood,director_Martin Scorsese,director_Ridley Scott,director_Steven Spielberg,director_Woody Allen,actor_J.K. Simmons,actor_Johnny Depp,actor_Matt Damon,actor_Nicolas Cage,actor_Robert De Niro,aspect_1.37,aspect_1.78,aspect_1.85,aspect_2.35,aspect_Other,content_Other,content_PG,content_PG-13,content_R,color_ Black and White,color_Color,language_English,language_Other,country_Australia,country_Canada,country_France,country_Germany,country_Other,country_UK,country_USA
3,6.583409360471341,5.18178411208968,-9.210340371976182,6.751101585895817,6.907755378982132,20.449494357997118,13.694702451503984,-9.210340371976182,8.02420751852252,19.283570699099826,7.605392414590941,6.8416155833151935,10.40426284347892,0.7925333288434575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1
3,5.710427348500643,5.129899306638875,6.333279805759568,6.907755378982132,10.596634735596073,19.550158915535178,13.063080355452705,-9.210340371976182,7.121252534019982,19.51929303262081,7.604396398621947,8.517193211416238,-9.210340371976182,-3.4594461779883745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1
3,6.400257611421764,4.997212949439563,-9.210340371976182,5.0814049861022825,9.305650560871417,19.114198730755678,12.527677769789006,9.999500033329732e-05,6.90173730726019,19.31676876850941,7.608374524008574,5.973809866322155,11.350406536648924,-9.210340371976182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0
4,6.700731232549033,5.09986703758011,9.998797736885907,10.043249499259113,10.20359214869017,19.920595359476224,13.950335988048554,-9.210340371976182,7.90137739081594,19.33697147582692,7.606884580921418,10.043249499259113,12.007621707416092,-0.23240812525240795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1
3,4.700481274882912,4.634729959102951,4.875198086559639,5.917548227619746,4.875198086559639,17.05487504926371,2.0794540416017115,-9.210340371976182,5.0498566482749725,16.811242831523266,7.60339938961598,2.4849149830866115,-9.210340371976182,-2.648528540264844,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,6.1355651075319315,4.882802680161841,6.163315014560935,6.272877195225395,6.4614683326037055,18.106773498140026,12.265303355596979,9.999500033329732e-05,6.603943960101819,19.390322651323896,7.606884580921418,6.448889552374693,10.08580911349675,-9.210340371976182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1
3,5.971262094892471,5.0498566482749725,-9.210340371976182,8.294049665102028,10.08580911349675,19.634198756486608,12.855936471834818,-9.210340371976182,7.55066129568157,19.368470142886277,7.604396398621947,9.305650560871417,-9.210340371976182,-1.189146527502944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1
3,5.780743824434257,4.605171185987591,2.7080568677466546,5.64897459027382,6.683361070922713,19.11785611046704,12.594086360363784,9.999500033329732e-05,5.9584249514276815,19.376192188980188,7.605890050804364,6.315358182354145,10.275051112416888,-9.210340371976182,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1
3,6.453625156372994,4.948760599597775,-9.210340371976182,9.852194263411736,10.165851820849772,19.944542465025293,13.044767174811863,1.3863193608073958,7.0184018885947115,19.33697147582692,7.608374524008574,9.952277721467464,11.67843990429526,-0.17904724799848867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1
3,5.926926292637042,5.030438574986993,5.64190742554798,9.210340381976183,10.126631107850338,19.52579511486134,12.681669976129472,1.0986456214459,6.880384184960922,19.33697147582692,7.605392414590941,9.305650560871417,9.210340381976183,-1.5705637978006857,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0
3,6.511745478233127,5.209486699289359,-9.210340371976182,7.600902509542081,9.615805486751015,19.615357661090457,12.825678232244687,-9.210340371976182,8.012349672462319,19.33697147582692,7.608870678794433,8.294049665102028,12.19095900822774,-1.1360143627883224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1
3,6.073044764515124,5.129899306638875,-9.210340371976182,6.80572266415895,9.798127042433856,19.11417490430836,12.390042842985633,-9.210340371976182,7.769378651761554,19.157844809929564,7.603898018372329,9.210340381976183,-9.210340371976182,-9.210340371976182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1
3,5.99893681008561,4.663440037507849,5.978886018065647,5.973809866322155,6.111467561232144,18.941665154071483,12.709220873670523,9.999500033329732e-05,7.125283171961231,19.11382792451281,7.604894530612415,6.021023592067944,-9.210340371976182,-9.210340371976182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0
3,5.74620351002892,5.017280499066361,6.333279805759568,6.907755378982132,10.596634735596073,19.86295986878783,13.16549949247302,0.693197179309987,7.513163599819227,19.23161096016914,7.603898018372329,8.517193211416238,8.517193211416238,-0.12755498602029713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1
3,6.109247804986563,5.0106359607627,6.333279805759568,6.907755378982132,10.596634735596073,18.307399049542393,12.110618455906932,9.999500033329732e-05,6.566672570450207,19.1861485860924,7.607381475316889,7.600902509542081,10.778956291973362,-9.210340371976182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1
3,6.59714583831229,4.962845329560362,-9.210340371976182,6.6174031116643075,9.615805486751015,19.488907928919566,13.215075640270118,-9.210340371976182,7.838343354989292,19.23161096016914,7.607381475316889,8.00636760098358,11.67843990429526,-1.225778231442962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1
3,5.552959972518441,5.0106359607627,4.3820278846731,5.30330540557139,9.998797736885907,18.768615766807084,11.917870438498518,1.3863193608073958,6.082219138686923,19.23161096016914,7.604894530612415,5.375278870647021,-9.210340371976182,-9.210340371976182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1
4,6.555357034058165,5.153292172532294,-9.210340371976182,9.852194263411736,10.165851820849772,20.250505687186617,13.810915014712377,1.0986456214459,7.451241743059684,19.20913810431709,7.606884580921418,9.952277721467464,11.719939635167563,0.6060569913738069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1
3,6.104793455629246,4.9126556210298995,5.529429484336742,6.907755378982132,10.596634735596073,19.300572497831826,12.823159179746911,1.3863193608073958,6.1820851133281804,19.33697147582692,7.606387439499155,9.305650560871417,10.968198291252694,-9.210340371976182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1
3,6.111467561232144,4.663440037507849,5.2364424947447015,6.57646970832398,9.210340381976183,19.00301285981296,12.499316721696788,9.999500033329732e-05,5.831882770538606,19.23161096016914,7.606884580921418,6.704414477513119,10.596634735596073,-9.210340371976182,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1
3,6.0450055510028085,5.09986703758011,-9.210340371976182,6.65027917795352,8.517193211416238,19.357198993236658,12.777696052872178,-9.210340371976182,6.687108732554786,19.33697147582692,7.60787812293094,6.879355907341092,11.082142550416236,-3.88569855427914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0
3,6.395261765060344,5.030438574986993,6.139884767743474,6.87005351564028,9.615805486751015,19.383972089228912,13.021001523321571,-9.210340371976182,7.110696204611477,19.253589866887904,7.606884580921418,9.210340381976183,10.933106971503001,-1.9706678419155337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1
3,5.837730738711087,5.0498566482749725,-9.210340371976182,6.603943960101819,6.792344539704248,18.471561435732117,12.263232448730268,-9.210340371976182,6.302619158895071,19.11382792451281,7.605890050804364,6.782192169385469,9.740968628920706,-9.210340371976182,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1
3,6.232448213014157,5.225747211347465,-9.210340371976182,6.65027917795352,8.517193211416238,19.36984653630739,13.08888932075342,1.7917761357558344,6.857514167697856,19.23161096016914,7.607381475316889,6.879355907341092,11.326595887983554,-1.90820777603143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1
3,5.525453337538079,4.727388703667701,4.85981317955517,6.907755378982132,9.680344007471918,18.06519821737425,11.911829094247603,0.693197179309987,6.501289820690528,19.00846740885504,7.604396398621947,8.69951476487686,-9.210340371976182,-9.210340371976182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1
3,6.100319176235286,5.30330540557139,-9.210340371976182,4.430817989318795,8.69951476487686,19.200240730727984,12.663554453288528,-9.210340371976182,7.870165984666942,19.148229351230125,7.60339938961598,6.823286231169609,-9.210340371976182,-2.9283030071133442,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0
3,5.7525729562859,5.267858674527113,-9.210340371976182,6.677083587191712,10.275051112416888,20.305736703235546,13.583652898984289,-9.210340371976182,7.83518379482371,19.11382792451281,7.599401383490926,9.546812615740253,10.165851820849772,0.8300622527036717,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1
4,6.246106959279993,4.990433267050614,4.543295846099225,9.305650560871417,9.952277721467464,19.824808348325902,12.51601755214767,-9.210340371976182,6.929516868611003,19.33697147582692,7.608870678794433,9.852194263411736,11.184421399387082,-0.463800304909186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1
2,5.932245452699965,4.875198086559639,6.276643677311552,6.440946700122541,9.546812615740253,17.992558285702923,12.217912280128482,-9.210340371976182,6.621405784919918,19.157844809929564,7.606884580921418,9.210340381976183,10.691944915173126,-9.210340371976182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1
3,6.4676988813838445,4.820282372056325,5.899897627555057,6.907755378982132,8.00636760098358,20.295826970973035,12.943748542460803,-9.210340371976182,7.1623975748750945,18.826145852061195,7.608374524008574,7.600902509542081,11.918390573745059,1.2083477622260415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1
3,6.620073339863681,4.962845329560362,-9.210340371976182,5.973809866322155,6.783325313854236,19.533722679378965,13.165480336669294,-9.210340371976182,7.311886230832837,19.11382792451281,7.606884580921418,6.333279805759568,11.289781914906019,-0.6502766265712018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0
3,5.703782807989478,4.905275519178896,-9.210340371976182,8.294049665102028,10.08580911349675,19.73810158271318,12.926747440895566,9.999500033329732e-05,7.172424653870813,19.11382792451281,7.602900512104954,9.305650560871417,-9.210340371976182,-0.1427284533711528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1
3,6.4101750464398375,5.2730000713841285,6.907755378982132,8.00636760098358,9.952277721467464,19.829206818963286,13.231198051359424,1.0986456214459,7.079184478855662,19.11382792451281,7.607381475316889,8.294049665102028,11.46163217163531,0.04407560139630679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1
3,6.111467561232144,4.682132153049717,9.472704644135982,9.305650560871417,10.596634735596073,19.627205906240015,12.632385586477632,-9.210340371976182,6.601230254598432,19.11382792451281,7.605890050804364,10.126631107850338,10.08580911349675,-0.3989473499163806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1
3,5.811141292377853,4.644391860679372,6.040254949372624,6.327936962300607,9.903487557536128,19.272369012378444,12.856904529910148,-9.210340371976182,7.5559051459126,19.16261808868222,7.603898018372329,6.694562182283464,-9.210340371976182,-2.1533028160608274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0
3,5.929589409347306,4.644391860679372,3.610920615343275,6.633318564859316,9.39266193710347,19.408318003557284,12.367447170872238,-9.210340371976182,5.579730203344641,19.11382792451281,7.607381475316889,6.658011174240444,10.691944915173126,-1.071362037430597,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1
2,5.902633606625373,5.0106359607627,-9.210340371976182,6.139884767743474,6.795705887030331,19.812153397046234,12.686048264119778,-9.210340371976182,7.271703776380068,19.11382792451281,7.605392414590941,6.364750928968936,-9.210340371976182,0.010428874748612763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1
2,5.934894460169817,5.1059460799610035,-9.210340371976182,6.694562182283464,6.881411406311934,19.318514741370514,12.39842703843701,0.693197179309987,6.822197499552947,19.16261808868222,7.60787812293094,6.862758017653906,10.933106971503001,-1.7790086221823413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1
3,6.263398453067796,4.867535219686056,-9.210340371976182,9.305650560871417,10.691944915173126,19.274683544477842,12.07487566946242,1.3863193608073958,6.236369785898401,19.1861485860924,7.607381475316889,9.615805486751015,11.002099842870905,-2.3786840834770495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1
3,6.204557964588872,4.955827761826365,6.139884767743474,6.715383507546795,9.615805486751015,19.127996736140133,12.679903317609066,-9.210340371976182,6.972606345022461,19.11382792451281,7.60787812293094,9.210340381976183,10.621327348125469,-4.242635891619449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1
3,6.150602981665873,4.828314537301981,5.897154142361978,6.907755378982132,9.39266193710347,18.96330607666995,12.484397324185611,-9.210340371976182,6.499787191031783,18.951308995015125,7.605890050804364,9.210340381976183,10.308952663977626,-4.408835991870589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1
3,5.717028030353536,4.663440037507849,6.188264328421377,6.65415264904919,6.907755378982132,19.070141806261567,11.524636621886597,-9.210340371976182,5.645447251000066,19.11382792451281,7.606387439499155,6.823286231169609,9.210340381976183,-9.210340371976182,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1
2,6.077642472706806,4.812185168380217,5.552959972518441,5.786897688115126,9.680344007471918,18.574201433949984,12.31668783164379,0.693197179309987,6.309918460044682,19.11382792451281,7.606387439499155,5.908083209908025,10.08580911349675,-9.210340371976182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1
4,6.1158923462335615,4.634729959102951,4.828314537301981,6.580639275981195,9.615805486751015,19.84375172087093,13.208328207137702,1.0986456214459,6.59714583831229,19.11382792451281,7.605890050804364,6.907755378982132,10.308952663977626,0.07234157763995365,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1
3,6.0450055510028085,4.770685471922933,5.908083209908025,6.895682798962437,10.043249499259113,18.64638104798778,12.564079202828172,-9.210340371976182,6.881411406311934,19.11382792451281,7.605392414590941,8.00636760098358,-9.210340371976182,-9.210340371976182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1
3,6.049733691080987,4.941643136894763,-9.210340371976182,9.546812615740253,10.165851820849772,19.673541164842238,12.536210577377759,-9.210340371976182,6.4876841706916,19.06253463012529,7.608374524008574,10.043249499259113,11.451050062315971,-0.17151837450572296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1
3,6.483107504362386,4.812185168380217,5.978886018065647,6.907755378982132,9.740968628920706,19.125517390707877,13.049833544164835,-9.210340371976182,6.9027428376611,19.06253463012529,7.607381475316889,9.305650560871417,11.767567684119003,-2.731700493281496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1
3,6.289715756437737,5.003946977086174,-9.210340371976182,9.903487557536128,10.434115806539475,19.270468299617868,13.15022170572723,1.945924434667559,6.622736456928554,19.11382792451281,7.60787812293094,9.998797736885907,11.314474527465903,-1.773870848945811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1
3,6.380122706391276,4.882802680161841,9.546812615740253,6.833031840544815,9.852194263411736,19.248167505465087,12.88809062589596,-9.210340371976182,7.06561344899481,19.06253463012529,7.607381475316889,6.888572561502157,11.429543857118134,-1.5892423798791617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1
3,5.823046191340963,4.736199325587093,-9.210340371976182,4.941643136894763,6.886531744675551,17.992538338642422,11.57511122146391,9.999500033329732e-05,5.323010466943168,19.088510116528532,7.607381475316889,6.3225654194604815,9.998797736885907,-9.210340371976182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1
3,6.194405595186284,4.962845329560362,6.907755378982132,4.343806720554139,10.275051112416888,18.790952404177915,12.801915659890605,1.3863193608073958,6.6240653606020095,18.46947090812275,7.607381475316889,6.232448213014157,11.652687408214952,-0.9695082824707829,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0
3,5.723585428749713,4.753591053174959,5.187386364499817,5.463832228754334,9.615805486751015,18.323681210995307,12.312246330925854,0.693197179309987,6.1158923462335615,19.11382792451281,7.605890050804364,6.3403594800945795,10.043249499259113,-9.210340371976182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1
3,6.354370214710379,4.875198086559639,-9.210340371976182,6.823286231169609,9.680344007471918,18.438378038944883,12.850943030387043,-9.210340371976182,7.008505272498189,19.06253463012529,7.607381475316889,6.875232190582357,11.326595887983554,-9.210340371976182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1
3,6.059123429226629,5.036953251764068,-9.210340371976182,6.364750928968936,6.795705887030331,19.68016047299411,12.695204655517488,0.693197179309987,6.80128314570632,19.088510116528532,7.606387439499155,6.720220275762549,10.736396677645144,-0.21434723083249663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1
3,6.152732907470039,4.804021864405052,9.546812615740253,6.907755378982132,9.305650560871417,19.574447391164192,12.71843808347359,0.693197179309987,7.627544439173994,19.03586638304314,7.604894530612415,6.907755378982132,8.517193211416238,-0.33732957916946343,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1
3,5.697093822075818,4.532600568421495,4.727388703667701,4.727388703667701,5.616771461302869,18.628266603550045,11.048283438211275,-9.210340371976182,5.84354470688639,16.811242831523266,7.608374524008574,5.0106359607627,9.903487557536128,-2.648528540264844,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1
